['ABCB4.SA', -0.008496483805861887, 0.26291744961999236, [['high', 0.3900214322730773], ['low', 0.14503133749660058], ['null', 0.2336588360014416]], [['low', 0.5080385852090032], ['high', 0.47508038585209006], ['null', 0.016881028938906754]], 1244]
['ABEV3.SA', -0.007025720222203295, 0.20003216749602193, [['high', 0.30501712185062774], ['low', 0.1065683512954238], ['null', 0.12999993562698364]], [['low', 0.5176848874598071], ['high', 0.4694533762057878], ['null', 0.012861736334405145]], 1244]
['AFLT3.SA', 0.0008038608207579978, 0.15203375678353753, [['high', 0.4186532640867042], ['low', 0.09462829859708424], ['null', 0.007447706605600014]], [['null', 0.3842443729903537], ['low', 0.33520900321543406], ['high', 0.2805466237942122]], 1244]
['AGRO3.SA', -0.01838423048184999, 0.3742765452700796, [['high', 0.5813917785985363], ['low', 0.19228616954750072], ['null', 0.18894737645199425]], [['low', 0.5168810289389068], ['high', 0.4678456591639871], ['null', 0.01527331189710611]], 1244]
['AHEB3.SA', -0.026698609656704498, 0.08830455878235502, [['high', 2.431671633864894], ['low', 0.45073346738462094], ['null', 0.004479061773491565]], [['null', 0.9300080450522928], ['low', 0.04344328238133548], ['high', 0.02654867256637168]], 1243]
['ALPA3.SA', 0.007049811997980934, 0.3671864838462167, [['high', 0.6284875470972571], ['low', 0.16885468083569127], ['null', 0.04938140357892538]], [['low', 0.4702572347266881], ['high', 0.4517684887459807], ['null', 0.07797427652733119]], 1244]
['ALPA4.SA', -0.021400771340373246, 0.5246351984152839, [['high', 0.7853397066528732], ['low', 0.2861903230783162], ['null', 0.3888257633556019]], [['low', 0.5152733118971061], ['high', 0.4758842443729904], ['null', 0.008842443729903537]], 1244]
['ALUP3.SA', 0.011158850415343258, 0.13084910843533334, [['high', 0.18429857248011447], ['low', 0.07599645274867035], ['null', 0.06606993564339571]], [['high', 0.5096463022508039], ['low', 0.4557877813504823], ['null', 0.03456591639871383]], 1244]
['ALUP4.SA', -0.014643590549947365, 0.1069463479940531, [['high', 0.16904159466281343], ['low', 0.05539952547878165], ['null', 0.08817054914391559]], [['low', 0.520096463022508], ['high', 0.4429260450160772], ['null', 0.03697749196141479]], 1244]
['ANIM3.SA', -0.009726682468242584, 0.17391210986103658, [['high', 0.2650742057251604], ['low', 0.09210030785922346], ['null', 0.12651509588414972]], [['low', 0.5128617363344051], ['high', 0.4694533762057878], ['null', 0.017684887459807074]], 1244]
['ARZZ3.SA', -0.06520907288578928, 1.2690674484351057, [['high', 1.936120526543979], ['low', 0.6875679788272546], ['null', 0.2999992370605469]], [['low', 0.5321543408360129], ['high', 0.4662379421221865], ['null', 0.001607717041800643]], 1244]
['AZEV3.SA', -0.024704985919489355, 0.10517446955492259, [['high', 0.20523440795487138], ['low', 0.05580248313696206], ['null', 0.03693442372069962]], [['low', 0.5908360128617364], ['high', 0.3392282958199357], ['null', 0.06993569131832797]], 1244]
['AZEV4.SA', -0.0121716648052743, 0.08848974793861916, [['high', 0.16234470399058595], ['low', 0.04009519674389221], ['null', 0.04502246125799711]], [['low', 0.5570739549839229], ['high', 0.39389067524115756], ['null', 0.04903536977491962]], 1244]
['BAHI3.SA', 0.023875646652516062, 0.2128478204322398, [['high', 0.49956793709748487], ['low', 0.07905631978461083], ['null', 0.019086471857261082]], [['low', 0.3778135048231511], ['high', 0.35610932475884244], ['null', 0.26607717041800644]], 1244]
['BALM3.SA', 0.00395011441513884, 0.11433628155930044, [['high', 1.194257424609496], ['low', 0.1532499631245931], ['null', 0.003043055301076512]], [['null', 0.8222043443282381], ['low', 0.09654062751407884], ['high', 0.08125502815768303]], 1243]
['BALM4.SA', 0.0453778041520686, 0.19811092465636815, [['high', 0.5727462227664777], ['low', 0.222287015530026], ['null', 0.0073032087209273355]], [['null', 0.5514469453376206], ['high', 0.2692926045016077], ['low', 0.17926045016077172]], 1244]
['BAUH4.SA', 0.5269508944915747, 0.7496701345650879, [['high', 2.7248219486964946], ['low', 0.7850466933205863], ['null', 0.007097943085713139]], [['null', 0.66532582461786], ['high', 0.24859211584875301], ['low', 0.08608205953338696]], 1243]
['BAZA3.SA', 0.027281291998467645, 0.5707277071054342, [['high', 0.9958743616403388], ['low', 0.3452510720656323], ['null', 0.04052960701536334]], [['high', 0.4252411575562701], ['low', 0.4067524115755627], ['null', 0.1680064308681672]], 1244]
['BBAS3.SA', -0.021796600611646844, 0.2560892319755922, [['high', 0.3932672928119528], ['low', 0.13619445257493584], ['null', 0.14045429229736328]], [['low', 0.52491961414791], ['high', 0.4662379421221865], ['null', 0.008842443729903537]], 1244]
['BBDC3.SA', -0.012133020296740762, 0.21300946477908414, [['high', 0.3249554837176503], ['low', 0.11238456295575468], ['null', 0.13334495142886513]], [['low', 0.5128617363344051], ['high', 0.47186495176848875], ['null', 0.01527331189710611]], 1244]
['BBDC4.SA', -0.02445498003453687, 0.25527643467452366, [['high', 0.39376570146980017], ['low', 0.13965815719881086], ['null', 0.16812939114040798]], [['low', 0.5321543408360129], ['high', 0.4533762057877814], ['null', 0.014469453376205787]], 1244]
['BDLL3.SA', -0.011673371061047334, 0.06980692218218901, [['high', 0.7161702298103495], ['low', 0.15817394256591796], ['null', 0.0012185679644173303]], [['null', 0.831858407079646], ['low', 0.0925181013676589], ['high', 0.0756234915526951]], 1243]
['BDLL4.SA', 0.019541438126506484, 0.18693483518384102, [['high', 0.5741569746372311], ['low', 0.09784126887245784], ['null', 0.006900686923771688]], [['null', 0.46983105390185037], ['high', 0.27674979887369267], ['low', 0.25341914722445696]], 1243]
['BEEF3.SA', -0.007988054652689354, 0.21045680559716423, [['high', 0.3245243117135774], ['low', 0.1106128458596446], ['null', 0.16254418690999348]], [['low', 0.5241157556270096], ['high', 0.4638263665594855], ['null', 0.012057877813504822]], 1244]
['BEES3.SA', -0.004107710249554306, 0.07364952909218153, [['high', 0.10932694581838755], ['low', 0.049504128763498356], ['null', 0.04050423918651933]], [['low', 0.48633440514469456], ['high', 0.4180064308681672], ['null', 0.09565916398713827]], 1244]
['BEES4.SA', -0.011012856599985596, 0.09948553418039892, [['high', 0.16120079464799775], ['low', 0.056687592337232556], ['null', 0.058181863842588485]], [['low', 0.5120578778135049], ['high', 0.40836012861736337], ['null', 0.07958199356913183]], 1244]
['BGIP3.SA', 0.003856177111354837, 0.11260970829958314, [['high', 1.511246227082752], ['low', 0.12254065387653855], ['null', 3.786802518288521e-05]], [['null', 0.8471440064360418], ['low', 0.08527755430410297], ['high', 0.06757843925985518]], 1243]
['BGIP4.SA', 0.05576343183448405, 0.24461006907235205, [['high', 0.6502926907136073], ['low', 0.10862478491378157], ['null', 0.0062701842364142925]], [['null', 0.3829444891391794], ['high', 0.3234111021721641], ['low', 0.2936444086886565]], 1243]
['BIOM3.SA', -0.030838750374662147, 0.26968473272691584, [['high', 0.47561639824298896], ['low', 0.13589161046793763], ['null', 0.09165761409661709]], [['low', 0.5707395498392283], ['high', 0.3979099678456592], ['null', 0.03135048231511254]], 1244]
['BMEB3.SA', 0.022371389091589828, 0.09105708016459965, [['high', 0.38874519929922685], ['low', 0.04819818874737164], ['null', 0.002477068419850201]], [['null', 0.6133440514469454], ['high', 0.20819935691318328], ['low', 0.17845659163987138]], 1244]
['BMEB4.SA', 0.005506417758978448, 0.17963423836269563, [['high', 0.29555363226101883], ['low', 0.0834446338861395], ['null', 0.053144292733103955]], [['high', 0.4646302250803859], ['low', 0.45739549839228294], ['null', 0.07797427652733119]], 1244]
['BMIN3.SA', -0.024263869920087645, 0.12982302180050076, [['high', 2.0748388536514772], ['low', 0.26716819695666827], ['null', 0.002378278010793393]], [['null', 0.8592115848753017], ['low', 0.09090909090909091], ['high', 0.0498793242156074]], 1243]
['BMIN4.SA', -0.011567529758073127, 0.13718649122109366, [['high', 0.8531054917329587], ['low', 0.14493028064106786], ['null', 0.0024769591845674997]], [['null', 0.6977491961414791], ['low', 0.17282958199356913], ['high', 0.12942122186495178]], 1244]
['BMKS3.SA', 0.19028138041112969, 3.3288103698534215, [['high', 9.074712655335395], ['low', 2.7500005346745495], ['null', 0.21597788342690555]], [['null', 0.43569131832797425], ['low', 0.2982315112540193], ['high', 0.26607717041800644]], 1244]
['BNBR3.SA', 0.060289559398844464, 0.40176180458222294, [['high', 2.278949906154232], ['low', 0.5860139806787451], ['null', 0.003373221811454366]], [['null', 0.7393403057119872], ['high', 0.14561544650040226], ['low', 0.11504424778761062]], 1243]
['BOBR4.SA', -0.00437299001638529, 0.04029742755307262, [['high', 0.07060085524816881], ['low', 0.021304349584471968], ['null', 0.025477708524959102]], [['low', 0.4991961414790997], ['high', 0.3745980707395498], ['null', 0.12620578778135047]], 1244]
['BPAC3.SA', -0.01164208884407853, 0.27205776938288156, [['high', 0.4626120939272389], ['low', 0.13798650131597148], ['null', 0.03640272973597735]], [['low', 0.49517684887459806], ['high', 0.43488745980707394], ['null', 0.06993569131832797]], 1244]
['BRAP3.SA', -0.01102204644795016, 0.30021576866076305, [['high', 0.43563956267213166], ['low', 0.1806258071219683], ['null', 0.16305679745144314]], [['low', 0.5233118971061094], ['high', 0.4694533762057878], ['null', 0.007234726688102894]], 1244]
